1|0;1,0,0,-100,100;2,0,0,-40,-80;7,0,0,140,100
2|0;12,-40,40,80,160;13,-40,40,-100,-80
3|0;12,0,0,-150,50;13,0,0,-150,200;14,0,0,50,150;15,0,0,200,150
4|0;28,-50,25,100,125;28,-100,25,-150,125;28,-150,25,-150,-75;28,0,25,100,-75
5|0;24,100,50,-200,-50;25,0,50,-200,200;1,150,100,150,100;2,50,100,100,-50
6|0;1,50,100,-50,100;2,-50,0,-150,-50;3,-50,100,-50,200;4,50,0,-150,-200;9,0,50,150,-50
7|0;28,0,0,100,25;24,0,0,-150,50
8|0;24,0,0,-100,-100;28,0,25,100,125
9|0;28,0,0,100,-175;29,-25,25,-175,-100;30,-50,0,150,25;31,-25,-25,-125,100
10|0;1,0,0,-100,100;2,0,0,100,-100;3,50,0,-100,-100;4,50,0,100,100
11|0;0,0,0,-150,100;0,50,-50,100,-100;0,50,0,100,100;0,0,-50,-150,-100
12|0;18,0,0,-150,-125;19,0,100,100,-125;26,50,125,150,150;24,50,-25,-150,150
13|0;24,0,0,-100,150;25,50,-50,100,-100;26,0,-50,-100,-100;27,50,0,150,150
14|0;24,0,0,150,-100;25,-100,100,100,150;26,0,100,-100,100;27,-100,0,-150,-150
15|0;26,0,0,100,-100;25,-200,0,-150,-100;24,-100,0,-150,150;9,-100,0,-150,150;27,-100,0,100,150
16|0;1,0,0,-150,100;2,100,-100,150,-100;3,0,-100,-150,-100;4,100,0,150,100;9,50,-50,0,0
17|0;0,100,-50,200,-150;0,-100,150,-100,150;9,50,0,-100,-100;9,-50,100,150,150
18|0;0,-100,0,-150,-150;0,50,150,200,150;9,0,50,150,-100;9,-50,100,-100,100
19|0;0,100,0,150,-50;0,0,0,150,100;0,100,100,150,-200;9,0,100,-100,100;9,50,50,-100,-150
20|0;40,25,75,25,75;41,25,175,25,175;42,75,125,75,125;43,-25,125,-25,125
21|0;39,0,200,150,150;38,0,0,150,-50;37,-100,100,-150,100;36,100,100,-150,200;8,0,100,-50,-100
22|0;40,-25,125,-125,125;41,25,-25,125,-125;42,-75,25,-125,-125;43,75,75,125,125;9,0,50,0,0
23|0;16,25,50,125,-100;29,-25,100,-175,-100;17,25,150,25,150
24|0;24,0,100,-50,100;25,-50,150,100,100;36,0,150,100,-100;37,-50,100,-100,-100
25|0;16,25,200,125,0;41,-75,175,-175,-25;40,75.00001,175,125,-175
26|0;28,0,25,-100,-175;28,0,75,150,-175;29,-25,50,-125,100;29,25,50,125,100
27|0;9,-50,50,-150,-150;28,0,25,150,-175;28,-50,25,200,75;29,-25,0,-225,100;29,-25,50,-25,150
28|0;9,-50,50,-150,-150;28,0,25,150,-175;28,-50,25,200,75;29,-25,0,-225,100;29,-25,50,-25,150
29|0;28,-50,125,-150,-125;28,50,125,100,-125;29,-75,100,-125,100;29,75,100,75,100
30|0;29,25,0,-125,-100;41,25,-25,125,125;40,25,-25,125,-125;28,0,75,-100,125
31|0;37,0,50,-100,50;36,0,0,-100,-150;16,25,50,125,-150;17,-25,50,125,50
32|0;40,25,-75,75,125;41,25,225,75,25;34,25,150,-125,-100;35,25,0,-125,100
33|0;8,0,50,0,50;37,0,50,200,-50;37,0,50,-200,-50;37,-50,100,-200,150;37,50,100,200,150
34|0;8,100,50,150,-100;36,150,0,150,100;36,0,150,-100,100;37,0,250,-150,250;37,150,100,100,250;8,0,150,-150,-100
35|0;8,0,100,150,-150;36,50,50,150,50;8,0,0,-150,-150;36,-50,50,-100,50;37,50,150,100,200;37,-50,150,-150,200
36|0;8,0,100,150,-150;8,0,0,-150,-150;36,-100,0,-200,150;36,100,0,200,150;36,0,0,0,50;37,0,100,0,150;37,100,100,200,50;37,-100,100,-200,50
37|0;28,50,-25,-100,-125;29,75,0,125,-100;40,75,-25,125,125;41,-75,125,-75,125
38|0;25,0,0,-150,-100;36,0,50,100,150;38,-50,100,-50,150;27,0,0,100,-100;39,50,100,-150,150
39|0;16,25,100,-125,150;17,25,100,175,150;18,-50,25,-100,-75;19,-50,25,100,-75
40|0;26,0,100,-100,150;27,0,0,150,-100;36,0,50,-100,-150;37,0,50,150,200
41|0;38,50,50,100,0;37,0,100,50,-200;36,0,100,-100,50;39,50,50,-150,-150
42|0;8,0,-50,-150,-150;36,0,-150,150,50;37,0,-50,150,-100;38,-50,100,-200,150;39,50,100,0,150
43|0;9,-50,100,-100,50;17,25,-50,-125,-200;19,100,25,150,75;41,75,-25,125,-175
44|0;33,0,125,0,175;36,0,50,100,-150;37,0,150,0,0;36,0,0,-100,-150
45|0;24,0,100,150,100;25,0,100,100,-100;26,0,100,-100,100;7,0,100,-150,-100
46|0;33,0,125,0,175;36,0,50,100,-150;37,0,150,0,0;36,0,0,-100,-150
47|0;33,0,75,0,-125;37,-50,50,-100,50;37,50,50,150,50
48|0;12,0,100,100,150;14,50,50,-50,-50;0,50,100,150,0;13,0,100,-150,150;15,-50,50,-200,-50;0,-50,100,150,-150
49|0;20,0,0,-150,-150;21,0,100,150,150;22,-50,50,-150,100;23,50,50,150,-100
50|0;36,0,0,0,-100;37,0,0,-150,-100;38,50,50,-200,150;39,50,50,-50,150;0,50,0,150,150
51|0;16,-25,0,125,-150;17,-25,0,-125,-150;18,50,75,150,75;19,50,75,-150,75;7,50,0,0,-50
52|0;32,0,-25,150,-175;33,0,-25,-150,-175;34,75,50,175,50;35,75,50,-175,50;8,0,50,0,150
53|0;20,0,100,150,0;21,50,100,150,150;22,50,50,-50,-100;23,50,100,-200,-100;8,0,50,-150,150
54|0;24,50,50,-150,100;25,0,0,100,-100;26,0,0,-150,-100;27,-50,50,100,100
55|0;16,25,50,-125,100;9,0,100,100,-150;17,25,150,125,100;9,0,100,-150,-150
56|0;23,0,200,150,150;22,0,0,150,-100;15,0,200,-100,150;14,0,0,-100,-100
57|0;7,0,50,-50,-150;1,0,0,-100,0;2,0,100,50,150;3,50,50,50,0;4,-50,50,-100,150
58|0;1,50,150,-50,0;2,0,100,-150,0;3,0,150,-50,100;4,50,100,-150,100;40,25,125,175,75;41,25,125,175,75
59|0;21,-50,50,-50,100;31,-75,50,-75,-100;31,75,50,125,-100;31,75,50,175,100
60|0;36,0,100,150,-50;37,0,100,150,50;38,-50,50,-150,0;39,50,50,-50,0
1|1;1,0,0,-100,100;2,0,0,-40,-80;7,0,0,140,100
2|1;12,0,0,-150,50;13,0,0,-150,200;14,0,0,50,150;15,0,0,200,150
3|1;20,-50,50,200,50;21,50,50,-200,0;22,0,0,0,200;23,0,100,0,-150
